region_id,region,population,area_sq_km
128,West Bengal,45789378.0,86596
129,West Bengal,18586205.0,169371
130,Bihar,30428946.0,167938
131,Gujarat,81507818.0,176387
132,Bihar,,206814
133,UP,,57289
134,Assam,,162302
135,Tamil Nadu,93252435.0,169958
136,UP,,174200
137,Tamil Nadu,,230326
138,Bihar,48412847.0,177625
139,Gujarat,,124374
140,UP,,30051
141,Odisha,43182550.0,165688
142,Assam,45512501.0,108730
143,Gujarat,,35688
144,Kerala,79311410.0,54716
145,Odisha,,70922
146,Assam,,182608
147,Gujarat,,242618
148,Kerala,,179176
149,Gujarat,,237855
150,UP,,246453
151,West Bengal,,39796
152,Bihar,15533057.0,232087
153,Tamil Nadu,,139188
154,West Bengal,35429530.0,196169
155,Bihar,,167463
156,Odisha,47857940.0,115676
157,Gujarat,25561818.0,206589
158,Bihar,64809598.0,88218
159,Bihar,,68800
160,Assam,50119729.0,154742
161,Odisha,,98827
162,West Bengal,,232853
163,Assam,,176616
164,Gujarat,,200983
165,Gujarat,80318641.0,93521
166,West Bengal,,114780
167,West Bengal,,141028
168,Tamil Nadu,51749089.0,114079
169,Tamil Nadu,84708841.0,231767
170,Kerala,,191538
171,UP,88642093.0,145464
172,Odisha,36338443.0,209662
173,Tamil Nadu,25936786.0,59457
174,Odisha,37621391.0,248220
175,Kerala,,211874
176,West Bengal,,153519
177,Odisha,49543739.0,223989
178,Gujarat,,173864
179,UP,88623280.0,212208
180,Odisha,55547291.0,96966
181,Assam,,82611
182,Kerala,,201640
183,Odisha,,203112
184,Kerala,,58283
185,Odisha,,90599
186,Bihar,73255127.0,112694
187,UP,85142265.0,78868
188,Gujarat,,176980
189,Odisha,10335477.0,168783
190,Kerala,,133127
191,Assam,,209388
192,Tamil Nadu,,91919
193,Kerala,,131494
194,Odisha,,89135
195,Assam,,202210
196,Assam,,166503
197,Gujarat,61013532.0,180181
198,Assam,,188693
199,Tamil Nadu,65286467.0,84200
200,Assam,82984620.0,66204
201,Kerala,97413212.0,142738
202,Assam,93077934.0,113229
203,West Bengal,79804948.0,78269
204,Tamil Nadu,24531743.0,230654
205,Tamil Nadu,,109520
206,UP,,69834
207,Gujarat,19330619.0,78430
208,Odisha,,188755
209,Gujarat,85042177.0,90532
210,Odisha,53219240.0,210392
211,UP,,216651
212,Tamil Nadu,,158829
213,UP,23456645.0,80661
214,Gujarat,,230419
215,Odisha,,88341
216,Gujarat,32455861.0,76419
217,UP,,210319
218,Tamil Nadu,66410640.0,142081
219,Bihar,,218796
220,Tamil Nadu,57902012.0,166485
221,West Bengal,,246795
222,Odisha,,222720
223,Odisha,,165299
224,Odisha,,145226
225,Bihar,,150939
226,Assam,,190729
227,Odisha,97603918.0,151524
228,UP,17138759.0,77125
229,Assam,,114793
230,UP,8343647.0,148929
231,Gujarat,66026547.0,95557
232,Tamil Nadu,97840741.0,218317
233,West Bengal,17239481.0,215133
234,UP,,52362
235,Bihar,73674708.0,129268
236,Bihar,10892974.0,117868
237,Assam,26759927.0,76888
238,Odisha,,111138
239,UP,43759467.0,60816
240,Assam,32226295.0,193200
241,Kerala,,160450
242,UP,77947490.0,189379
243,UP,36927492.0,184366
244,UP,,145834
245,West Bengal,85693921.0,94150
246,Kerala,88183589.0,42823
247,Assam,24898606.0,201252
248,Tamil Nadu,9928616.0,38501
249,Kerala,49440977.0,42853
250,West Bengal,60963010.0,72293
251,Kerala,87019078.0,149364
252,Tamil Nadu,9810369.0,231460
253,Kerala,,129336
254,West Bengal,62354434.0,106764
255,UP,23058430.0,212090
256,Kerala,,167532
257,Gujarat,98392654.0,190446
258,Odisha,19670297.0,156789
259,Kerala,,98068
260,Tamil Nadu,,166237
261,UP,71102828.0,189752
262,Gujarat,43988647.0,30414
263,West Bengal,,193960
264,West Bengal,,138538
265,Odisha,,176909
266,Gujarat,6516293.0,210883
267,Kerala,39147341.0,110680
268,Kerala,,231072
269,Odisha,,119485
270,Bihar,81359356.0,248115
271,Assam,,248582
272,Tamil Nadu,,154387
273,Odisha,91657974.0,156221
274,Assam,,170762
275,Tamil Nadu,,224664
276,Odisha,,178096
277,Tamil Nadu,79514623.0,84594
278,Tamil Nadu,52458790.0,69139
279,Kerala,,128367
280,Assam,,79120
281,West Bengal,,216080
282,Odisha,,52753
283,UP,,148464
284,Kerala,,75878
285,West Bengal,55226379.0,233893
286,Gujarat,,162643
287,Odisha,69781956.0,79862
288,Tamil Nadu,,233301
289,Tamil Nadu,24232735.0,245518
290,Assam,32539747.0,150420
291,Bihar,75107942.0,31077
292,Kerala,10909601.0,117369
293,UP,11192775.0,166466
294,Kerala,,197470
295,Gujarat,48067834.0,80474
296,Kerala,,232581
297,UP,95076744.0,101474
298,Assam,,60005
299,Odisha,88610257.0,84153
300,Tamil Nadu,,101054
301,Assam,,180492
302,Gujarat,27988138.0,111625
303,Tamil Nadu,,43297
304,Assam,,207077
305,Odisha,,44103
306,West Bengal,,76919
307,UP,,111904
308,Tamil Nadu,31594858.0,228113
309,UP,81207390.0,54357
310,UP,,111367
311,UP,68155598.0,88666
312,Assam,,125276
313,Bihar,,236773
314,Tamil Nadu,,37933
315,West Bengal,68798298.0,122128
316,UP,66906810.0,103992
317,Tamil Nadu,86126594.0,163155
318,West Bengal,59450250.0,115424
319,West Bengal,,135071
320,Bihar,37021033.0,173641
321,Assam,,47317
322,Tamil Nadu,,235603
323,Bihar,,172744
324,Gujarat,28231136.0,223820
325,UP,,115295
326,West Bengal,64755911.0,110749
327,Bihar,14342578.0,209701
328,Bihar,,199080
329,Odisha,17151134.0,244180
330,Assam,82949346.0,228463
331,Assam,93701999.0,148744
332,Kerala,,81292
333,Gujarat,,108573
334,Kerala,,53406
335,Odisha,,63437
336,Kerala,,173886
337,Odisha,,58756
338,Kerala,9185545.0,143171
339,Bihar,,216587
340,Bihar,,144082
341,Gujarat,93917575.0,154484
342,Assam,,124447
343,Bihar,,205653
344,Assam,23022414.0,48807
345,Odisha,,202471
346,Bihar,23223512.0,65971
347,Bihar,,193380
348,Assam,,174716
349,UP,,89176
350,Assam,62011913.0,181503
351,UP,,137698
352,Tamil Nadu,9491176.0,178937
353,UP,,59665
354,UP,97676974.0,67247
355,Kerala,67402697.0,167194
356,West Bengal,,195324
357,West Bengal,,190704
358,Odisha,51109986.0,152911
359,UP,,180461
360,Tamil Nadu,,239249
361,Kerala,43816900.0,39260
362,Kerala,,46100
363,UP,82596783.0,180171
364,Odisha,,242047
365,Odisha,,51629
366,Assam,72859961.0,235458
367,Kerala,38829709.0,191427
368,Kerala,,33723
369,West Bengal,86043555.0,185128
370,Assam,,126932
371,Assam,40064728.0,157118
372,Assam,75784933.0,119875
373,West Bengal,24470999.0,249575
374,UP,,92376
375,UP,90573823.0,85274
376,Tamil Nadu,,228045
377,West Bengal,12049544.0,151638
378,Bihar,,154850
379,Gujarat,,154410
380,Kerala,,33109
381,Kerala,,207862
382,Tamil Nadu,76169409.0,55523
383,Tamil Nadu,,117809
384,Kerala,40847919.0,96936
385,Bihar,66888947.0,222495
386,Gujarat,,207659
387,Assam,47046364.0,206370
388,Odisha,14120357.0,137806
389,West Bengal,75499776.0,209699
390,UP,52179735.0,220120
391,Kerala,38808923.0,38923
392,Odisha,88134088.0,44911
393,Gujarat,85448089.0,215617
394,West Bengal,16594582.0,128555
395,Assam,19877375.0,96410
396,Kerala,67673716.0,197452
397,UP,,211461
398,Tamil Nadu,39539133.0,234664
399,West Bengal,42216895.0,130348
400,Bihar,49648162.0,97695
401,Kerala,,48192
402,UP,,76777
403,UP,19553291.0,171723
404,Bihar,34311339.0,145757
405,Kerala,18862962.0,49115
406,West Bengal,,233748
407,UP,,69021
408,Odisha,,99844
409,Assam,,132584
410,Odisha,,155341
411,Bihar,59212251.0,171591
412,Gujarat,,210685
413,UP,,117409
414,Kerala,58769608.0,195746
415,West Bengal,,51091
416,UP,43917593.0,76299
417,Odisha,56561575.0,108347
418,Bihar,,157533
419,West Bengal,,222760
420,Gujarat,23782825.0,80618
421,Odisha,84583788.0,158249
422,Bihar,,160989
423,UP,7203625.0,118941
424,Odisha,50327823.0,136301
425,West Bengal,,207754
426,Assam,82758465.0,48883
427,Odisha,,201398
428,Odisha,68246028.0,93617
429,Assam,6928065.0,195848
430,Odisha,46250118.0,149586
431,Assam,84328380.0,244381
432,West Bengal,,185969
433,Gujarat,13470495.0,141728
434,Tamil Nadu,,114996
435,West Bengal,96816788.0,114302
436,Gujarat,11118522.0,117950
437,West Bengal,,67024
438,Bihar,,175072
439,Assam,63876111.0,182564
440,Odisha,22900736.0,237369
441,Bihar,26173338.0,157655
442,West Bengal,5852226.0,77032
443,West Bengal,,139110
444,UP,97926762.0,84043
445,Assam,,167124
446,UP,60301908.0,75756
447,Odisha,85030269.0,218009
448,UP,87147935.0,194414
449,Kerala,,31198
450,Gujarat,30756766.0,168988
451,West Bengal,,229525
452,Gujarat,67306017.0,102463
453,Odisha,31000523.0,238827
454,Assam,,160420
455,Assam,26442569.0,44163
456,Tamil Nadu,43260712.0,143946
457,Kerala,,41355
458,West Bengal,12040602.0,71430
459,Odisha,70103838.0,48575
460,Gujarat,,139855
461,Gujarat,,90309
462,West Bengal,48772726.0,55706
463,Gujarat,60377624.0,128443
464,Gujarat,,183378
465,UP,,67995
466,Gujarat,,76677
467,Bihar,55128319.0,149993
468,Gujarat,,100698
469,Gujarat,50082572.0,38413
470,Odisha,42662052.0,59126
471,UP,,74879
472,Tamil Nadu,,188239
473,Assam,90630804.0,181551
474,Gujarat,,166778
475,UP,,249411
476,UP,42469681.0,221369
477,Bihar,38105363.0,115798
478,Bihar,82774748.0,185129
479,Assam,82000815.0,139516
480,Odisha,,222276
481,Odisha,,155637
482,West Bengal,,93048
483,West Bengal,79958851.0,211707
484,Bihar,34260335.0,123953
485,Kerala,37086411.0,34175
486,UP,,72415
487,UP,81555214.0,149233
488,UP,,78482
489,Tamil Nadu,,214523
490,Odisha,89195455.0,130893
491,Tamil Nadu,76258920.0,107749
492,Bihar,41210517.0,236488
493,West Bengal,,222875
494,Odisha,,43516
495,West Bengal,,151989
496,Odisha,,75945
497,West Bengal,80263692.0,66282
498,Tamil Nadu,37028739.0,200141
499,UP,82862305.0,227439
500,Gujarat,,100086
501,Bihar,42197817.0,46611
502,Tamil Nadu,,157461
503,West Bengal,,148483
504,Tamil Nadu,95369665.0,79375
505,UP,16718382.0,132415
506,Assam,43704726.0,58669
507,Assam,42036407.0,212735
508,Assam,71616115.0,83544
509,Odisha,,208887
510,Assam,,140134
511,UP,91528081.0,106419
512,Gujarat,13448940.0,240236
513,Gujarat,,137922
514,Tamil Nadu,,157440
515,UP,,178701
516,Assam,46137063.0,236901
517,Kerala,,127491
518,Kerala,11351040.0,122568
519,Kerala,66193423.0,192170
520,Assam,,77783
521,Assam,97993996.0,72271
522,Gujarat,20692379.0,113001
523,Assam,,126907
524,Assam,32535486.0,204470
525,Tamil Nadu,51150365.0,127757
526,UP,77459667.0,169891
527,Kerala,21306114.0,136053
528,UP,,113943
529,Assam,,199671
530,Kerala,,227698
531,Assam,,118784
532,West Bengal,69287772.0,66548
533,West Bengal,46350093.0,135284
534,Gujarat,,54243
535,Tamil Nadu,12386489.0,182943
536,Gujarat,42302753.0,35910
537,West Bengal,,207488
538,West Bengal,,80973
539,UP,47648731.0,204788
540,Tamil Nadu,58359331.0,217685
541,Bihar,,127735
542,Odisha,,122105
543,Kerala,64804203.0,86543
544,UP,,105663
545,Assam,,66586
546,West Bengal,24278938.0,109490
547,UP,,47331
548,Bihar,16871327.0,137337
549,Kerala,60635129.0,175703
550,UP,81224438.0,82234
551,Assam,,175192
552,UP,,248781
553,Kerala,,88856
554,Odisha,5328387.0,98859
555,Kerala,,62552
556,Kerala,60989834.0,158945
557,Gujarat,8817499.0,230466
558,Kerala,71176080.0,186995
559,Tamil Nadu,,178261
560,Bihar,,211992
561,West Bengal,55090353.0,98036
562,Assam,83068345.0,68308
563,Tamil Nadu,66880273.0,123686
564,Assam,,124676
565,Bihar,,42770
566,Kerala,44146492.0,164707
567,Gujarat,89292753.0,230458
568,West Bengal,85364540.0,172530
569,Tamil Nadu,,101161
570,Tamil Nadu,,245827
571,Assam,6731095.0,165835
572,Kerala,,138001
573,Tamil Nadu,26881401.0,87114
574,Assam,72562908.0,247992
575,Gujarat,79981433.0,139404
576,UP,15254278.0,244655
577,Assam,,121281
578,Kerala,,66441
579,UP,,75143
580,Kerala,8860039.0,88289
581,Assam,98179884.0,210367
582,Gujarat,46262331.0,85008
583,Assam,,211093
584,West Bengal,15433455.0,233080
585,UP,62881056.0,81472
586,West Bengal,9401363.0,152967
587,West Bengal,38958759.0,47366
588,Kerala,94601933.0,227800
589,West Bengal,21615289.0,184036
590,Gujarat,,37670
591,West Bengal,,181978
592,Tamil Nadu,52271923.0,161238
593,Gujarat,72767769.0,55979
594,Odisha,75979534.0,217645
595,Gujarat,42830178.0,227661
596,Odisha,18245372.0,162171
597,UP,54185834.0,145255
598,West Bengal,,129513
599,Bihar,33759369.0,136844
600,West Bengal,47181984.0,152133
601,West Bengal,74756655.0,159975
602,Tamil Nadu,,176048
603,Odisha,,159423
604,West Bengal,,149785
605,Kerala,,89211
606,Bihar,,79488
607,West Bengal,,77001
608,Odisha,,206185
609,West Bengal,,167012
610,West Bengal,21001148.0,133497
611,Bihar,98286302.0,224361
612,Assam,,82189
613,Tamil Nadu,,62181
614,Gujarat,,103011
615,Kerala,,123348
616,UP,,157017
617,Kerala,,58321
618,West Bengal,,160357
619,Gujarat,89338531.0,37791
620,West Bengal,12093731.0,160583
621,Odisha,,188488
622,Tamil Nadu,,193044
623,West Bengal,,237809
624,UP,,203563
625,UP,,172196
626,Tamil Nadu,77548572.0,230268
627,Odisha,62768169.0,130566
628,UP,,146013
629,UP,9829304.0,76365
630,Kerala,99765662.0,158838
631,Bihar,,217622
632,Bihar,70425092.0,179121
633,UP,,154757
634,Assam,73006116.0,132599
635,Kerala,,191727
636,Tamil Nadu,,46101
637,Odisha,84250658.0,63606
638,Tamil Nadu,51825449.0,230591
639,Tamil Nadu,56079694.0,142236
640,Tamil Nadu,,122083
641,Odisha,93750131.0,94910
642,Gujarat,,185328
643,West Bengal,97340624.0,109930
644,West Bengal,50311134.0,35167
645,Tamil Nadu,,202429
646,Bihar,,99892
647,Odisha,,184137
648,Odisha,,179514
649,Bihar,48274663.0,241897
650,UP,18429380.0,118071
651,UP,,73680
652,Kerala,,82889
653,UP,90287876.0,170465
654,Gujarat,,42460
655,Kerala,,240921
656,Gujarat,88828673.0,218142
657,West Bengal,,101660
658,West Bengal,,141963
659,Gujarat,51616029.0,200796
660,Kerala,,143484
661,Tamil Nadu,,135460
662,Kerala,,206045
663,Assam,7496895.0,181216
664,UP,,100237
665,Bihar,80982862.0,166909
666,Gujarat,,68730
667,Gujarat,,144134
668,Bihar,47768905.0,196180
669,Gujarat,,245930
670,Kerala,91710377.0,97225
671,Gujarat,59474404.0,59768
672,Assam,30758531.0,94379
673,Kerala,,176754
674,Bihar,61642448.0,82950
675,Assam,41602780.0,37639
676,Kerala,42281925.0,198897
677,Odisha,70208604.0,44503
678,West Bengal,,46667
679,Bihar,53779318.0,134043
680,Assam,36680907.0,179677
681,West Bengal,,160141
682,West Bengal,36954134.0,232687
683,Tamil Nadu,,241246
684,Gujarat,61756516.0,67821
685,West Bengal,28508806.0,101970
686,UP,,184528
687,Odisha,,213400
688,West Bengal,,154480
689,Gujarat,42276794.0,125157
690,UP,,35524
691,Odisha,93882124.0,211058
692,Gujarat,,111072
693,Tamil Nadu,96972475.0,170223
694,Gujarat,,32062
695,Bihar,,53658
696,Gujarat,44919426.0,72002
697,UP,,242925
698,Bihar,,50996
699,UP,,117221
700,Bihar,18474864.0,213102
701,Kerala,72959068.0,122237
702,Bihar,,148819
703,Odisha,11992585.0,195191
704,UP,91046825.0,30806
705,Bihar,,112240
706,West Bengal,19875109.0,95432
707,Assam,,237786
708,Tamil Nadu,,222720
709,Assam,39987861.0,210215
710,Tamil Nadu,42822197.0,52124
711,Bihar,54338378.0,133152
712,Bihar,81556525.0,35435
713,Odisha,79964625.0,53324
714,UP,,213831
715,Assam,,192006
716,Bihar,,69125
717,West Bengal,54381407.0,178699
718,West Bengal,,232731
719,UP,,61067
720,Gujarat,32265709.0,243231
721,Kerala,,130158
722,Assam,62889258.0,187308
723,Gujarat,42979220.0,139662
724,Assam,59831176.0,37542
725,Kerala,40138129.0,191921
726,UP,,182804
727,UP,16507650.0,152914
728,Assam,,210054
729,Gujarat,,222965
730,Kerala,14805359.0,176014
731,Odisha,,91562
732,UP,52553566.0,31405
733,Kerala,,109300
734,Bihar,,64665
735,Odisha,82911634.0,98233
736,Assam,,118913
737,UP,22705940.0,113182
738,Bihar,,60629
739,Tamil Nadu,10927344.0,160865
740,Kerala,,104167
741,Kerala,,165521
742,Tamil Nadu,63488779.0,112717
743,UP,,43951
744,Gujarat,24947547.0,90256
745,Assam,,98216
746,Assam,,144407
747,West Bengal,71425800.0,145741
748,Tamil Nadu,,149998
749,UP,20098270.0,62415
750,Tamil Nadu,17559810.0,104479
751,Assam,,177651
752,Gujarat,83322404.0,167891
753,Assam,60890810.0,94528
754,UP,95853123.0,116155
755,Odisha,43155583.0,133329
756,Tamil Nadu,84233891.0,249408
757,Tamil Nadu,25639394.0,51250
758,UP,,149027
759,Kerala,84752745.0,116357
760,Odisha,,115174
761,Assam,33369179.0,240123
762,Kerala,48375256.0,224982
763,West Bengal,,54261
764,Bihar,39247519.0,92935
765,Bihar,16970652.0,84584
766,Assam,,104694
767,Assam,,158672
768,Bihar,46621092.0,124121
769,West Bengal,54319220.0,158351
770,UP,,100380
771,Bihar,,242597
772,Tamil Nadu,87391939.0,143798
773,Bihar,17475197.0,164569
774,Tamil Nadu,67213255.0,199767
775,Assam,71481027.0,106206
776,UP,63700864.0,240120
777,UP,45318100.0,63499
778,Kerala,,107458
779,Odisha,78953207.0,41821
780,West Bengal,,138270
781,West Bengal,,123181
782,Kerala,83593591.0,231496
783,Odisha,,77068
784,Assam,57741841.0,51834
785,Bihar,,112299
786,UP,,193528
787,Kerala,50813124.0,85330
788,Assam,,206530
789,West Bengal,63223505.0,31532
790,Bihar,20660291.0,75019
791,UP,,202416
792,UP,,211052
793,Bihar,45621889.0,62791
794,Assam,6862394.0,59337
795,Odisha,98419892.0,37029
796,Gujarat,69574456.0,200325
797,Gujarat,63490538.0,52568
798,Kerala,67199925.0,154253
799,Bihar,7928205.0,73543
800,Assam,,157152
801,UP,,183413
802,Gujarat,,179272
803,Bihar,,32064
804,West Bengal,,138969
805,UP,,39703
806,UP,,164573
807,UP,36125867.0,168492
808,Odisha,,175032
809,West Bengal,,154082
810,West Bengal,,147525
811,Bihar,7792658.0,105500
812,Gujarat,,144848
813,Gujarat,73133743.0,184051
814,Tamil Nadu,,64382
815,Kerala,,248387
816,Tamil Nadu,68394367.0,193012
817,Gujarat,42910765.0,204864
818,UP,22327046.0,82293
819,Assam,,56451
820,Bihar,,91530
821,Gujarat,79736526.0,34752
822,Tamil Nadu,,207452
823,Assam,28449822.0,241501
824,West Bengal,,59876
825,Gujarat,21198473.0,157497
826,Kerala,,231686
827,Odisha,,69630
828,West Bengal,99812063.0,144773
829,UP,19888885.0,234905
830,West Bengal,80493830.0,162987
831,West Bengal,27420574.0,83840
832,Tamil Nadu,,215640
833,UP,,222034
834,West Bengal,,117715
835,Assam,21506561.0,145109
836,Bihar,5884169.0,248841
837,UP,,162388
838,Assam,,127631
839,Bihar,53404738.0,69743
840,Bihar,35626070.0,240178
841,Bihar,,150259
842,Tamil Nadu,,68164
843,Odisha,74437366.0,52224
844,Tamil Nadu,,232472
845,Assam,63260195.0,133092
846,Odisha,93607345.0,180616
847,Odisha,,139918
848,Bihar,,219150
849,Tamil Nadu,51192019.0,246794
850,Kerala,75839007.0,213578
851,Bihar,64886480.0,172717
852,UP,,242816
853,Bihar,,52093
854,Odisha,,132234
855,Assam,,86029
856,West Bengal,,166665
857,Tamil Nadu,90320264.0,36139
858,Odisha,,93265
859,Kerala,61739991.0,221885
860,Odisha,,194361
861,Tamil Nadu,21617902.0,228327
862,West Bengal,,180060
863,Odisha,,91891
864,Gujarat,,104589
865,Assam,55689435.0,57584
866,Tamil Nadu,74316990.0,245703
867,Tamil Nadu,65976401.0,68418
868,Bihar,60304811.0,54182
869,Odisha,62027331.0,154846
870,Gujarat,64883130.0,126808
871,Bihar,,99125
872,UP,,145364
873,UP,60958370.0,67839
874,Assam,,63917
875,West Bengal,98210280.0,149388
876,UP,9376489.0,176545
877,Tamil Nadu,,58923
878,West Bengal,,40559
879,Assam,,109934
880,Tamil Nadu,,157382
881,Odisha,24175605.0,235466
882,Bihar,,104313
883,Gujarat,,30546
884,West Bengal,,47711
885,Odisha,,180224
886,Kerala,,118558
887,Bihar,68783961.0,229740
888,Assam,,229669
889,UP,,69054
890,Tamil Nadu,,131511
891,Gujarat,,171818
892,Odisha,,222915
893,Kerala,91693449.0,73414
894,Odisha,,177074
895,West Bengal,91424699.0,80443
896,Odisha,81536905.0,226754
897,UP,72463037.0,61531
898,Assam,,236243
899,Gujarat,,52189
900,Tamil Nadu,58928396.0,158836
901,Odisha,,77319
902,Bihar,,130141
903,Kerala,17217180.0,56039
904,Assam,43299260.0,77885
905,Kerala,17029742.0,110424
906,Bihar,96081300.0,45443
907,Tamil Nadu,29354859.0,216987
908,Odisha,,55885
909,Tamil Nadu,,114991
910,Kerala,55400522.0,43599
911,Gujarat,37161649.0,159231
912,Bihar,,45894
913,Tamil Nadu,,47159
914,UP,,196079
915,Gujarat,,175247
916,West Bengal,38059986.0,109852
917,Bihar,64858725.0,196670
918,Gujarat,,171673
919,Assam,,175529
920,UP,10609238.0,243029
921,UP,,201195
922,Assam,5072871.0,156402
923,Kerala,,208257
924,Bihar,52166514.0,183395
925,Kerala,11104857.0,223772
926,West Bengal,45350996.0,133626
927,West Bengal,,143236
928,Gujarat,,208808
929,Tamil Nadu,,227314
930,UP,41643203.0,203611
931,Tamil Nadu,50852776.0,150533
932,Tamil Nadu,7130654.0,199461
933,Odisha,,31121
934,Odisha,95289125.0,138308
935,UP,57719526.0,236387
936,West Bengal,77296289.0,248125
937,UP,95227319.0,122535
938,Bihar,,131384
939,Assam,98553800.0,62706
940,UP,54725069.0,146543
941,Odisha,34732013.0,228815
942,Kerala,,80203
943,West Bengal,,241921
944,Gujarat,,125158
945,Odisha,,214561
946,Gujarat,5957697.0,245252
947,Bihar,,179186
948,UP,27881048.0,202972
949,Assam,13772554.0,225552
950,West Bengal,,179396
951,Gujarat,,80292
952,Odisha,,208436
953,UP,,198025
954,Odisha,,136660
955,Kerala,,159911
956,Tamil Nadu,74425047.0,219063
957,Gujarat,,140116
958,UP,47445278.0,132723
959,Gujarat,49923454.0,179899
960,Odisha,,49514
961,Gujarat,31424359.0,116304
962,Kerala,13434795.0,37306
963,UP,62975205.0,185328
964,Tamil Nadu,38609390.0,58269
965,UP,,248239
966,Odisha,49773484.0,49113
967,UP,,181764
968,West Bengal,16480272.0,38740
969,Bihar,47047653.0,235166
970,Assam,,44362
971,Kerala,,47246
972,West Bengal,95941162.0,176606
973,Odisha,,135298
974,West Bengal,,91108
975,Odisha,,151689
976,Bihar,88243271.0,119028
977,Odisha,,184091
978,Gujarat,19496399.0,33221
979,West Bengal,84575878.0,180264
980,Assam,,123163
981,Bihar,,78738
982,Gujarat,23478117.0,45857
983,Assam,,164512
984,Tamil Nadu,46766978.0,68642
985,UP,,106300
986,Tamil Nadu,6084726.0,45025
987,Gujarat,73062865.0,140640
988,Tamil Nadu,31227100.0,197917
989,Gujarat,,79638
990,UP,,187224
991,Tamil Nadu,,191507
992,Kerala,,72540
993,West Bengal,65975394.0,160005
994,Gujarat,5496212.0,211723
995,Gujarat,67617503.0,92657
996,UP,,83822
997,Bihar,29728879.0,125110
998,Odisha,,37868
999,West Bengal,,145450
1000,Gujarat,,41509
94,Gujarat,20157001.0,195913
693,Tamil Nadu,96972475.0,170223
101,Odisha,,198971
563,Tamil Nadu,66880273.0,123686
730,Kerala,14805359.0,176014
925,Kerala,11104857.0,223772
394,West Bengal,16594582.0,128555
686,UP,,184528
739,Tamil Nadu,10927344.0,160865
265,Odisha,,176909
