event_id,disaster_type,region,event_date,severity
202,Drought,UP,,Low
203,Landslide,Assam,2022-06-27,Medium
204,Drought,Bihar,2022-11-04,High
205,Drought,Bihar,2023-09-27,High
206,Flood,West Bengal,2022-08-12,Low
207,,West Bengal,2021-07-21,High
208,,West Bengal,2022-09-06,Low
209,Flood,Tamil Nadu,2022-08-24,Medium
210,Earthquake,Bihar,2023-12-24,Medium
211,Drought,Assam,2021-06-11,High
212,Landslide,Gujarat,2024-04-09,Low
213,Cyclone,UP,2023-07-31,Medium
214,,Odisha,2023-08-11,Medium
215,,Assam,2022-12-09,High
216,Earthquake,Bihar,2023-07-25,Medium
217,Cyclone,Bihar,2021-08-07,Low
218,Landslide,Tamil Nadu,2022-08-28,Low
219,,Bihar,2024-03-05,High
220,,Odisha,2023-10-15,Medium
221,Cyclone,Tamil Nadu,2022-01-25,High
222,Earthquake,Assam,2021-03-22,Medium
223,Landslide,Odisha,2021-09-27,Low
224,Earthquake,Tamil Nadu,2021-12-26,Low
225,Cyclone,Tamil Nadu,2022-07-13,Low
226,Earthquake,UP,2022-08-28,High
227,Earthquake,West Bengal,2021-06-04,Low
228,Cyclone,Bihar,2024-02-16,Medium
229,Flood,Bihar,,High
230,Flood,UP,2022-06-21,High
231,Landslide,Tamil Nadu,2022-04-24,Medium
232,Flood,Tamil Nadu,2022-03-30,High
233,Flood,UP,2022-09-11,High
234,Landslide,West Bengal,2021-03-18,Medium
235,Landslide,West Bengal,2024-01-06,Low
236,Landslide,UP,2024-01-12,Medium
237,Drought,Assam,2021-07-22,Medium
238,Drought,Bihar,2022-07-27,Low
239,,Tamil Nadu,2023-06-30,Low
240,Earthquake,West Bengal,2023-01-23,High
241,,Tamil Nadu,2022-07-20,Low
242,Flood,UP,2022-03-11,High
243,,Odisha,2022-11-15,Low
244,Cyclone,Gujarat,2024-02-10,Low
245,Drought,Gujarat,2022-04-23,Medium
246,Cyclone,Odisha,2021-10-24,Low
247,Drought,Kerala,2021-08-14,High
248,Flood,Assam,,Low
249,Drought,Tamil Nadu,,Medium
250,Flood,Assam,2023-12-14,Low
251,,West Bengal,2023-01-12,High
252,Drought,West Bengal,2022-03-30,High
253,Flood,Kerala,2021-03-05,Low
254,Landslide,Bihar,2021-08-10,Medium
255,,UP,2021-06-15,Medium
256,Drought,Assam,2022-07-18,High
257,,Tamil Nadu,2023-12-23,Medium
258,Landslide,Bihar,2021-08-23,High
259,,Gujarat,2022-04-13,Medium
260,Earthquake,UP,2021-07-14,Medium
261,Landslide,Tamil Nadu,2023-02-06,Low
262,,UP,2021-06-24,Low
263,Landslide,West Bengal,2023-02-03,Low
264,Drought,Odisha,2024-02-25,High
265,Earthquake,West Bengal,2023-05-17,High
266,Flood,Kerala,2022-12-22,Low
267,Drought,Gujarat,2023-09-15,Low
268,Flood,Tamil Nadu,2023-01-23,Low
269,Earthquake,Gujarat,2024-02-23,High
270,Drought,Odisha,2022-07-02,Low
271,Cyclone,Kerala,2022-09-25,Medium
272,Earthquake,Odisha,2021-10-21,High
273,,Bihar,2021-03-04,Low
274,,Gujarat,2023-07-19,Medium
275,Cyclone,Tamil Nadu,2022-10-27,High
276,Drought,West Bengal,2021-11-15,Low
277,Drought,Odisha,2022-07-12,Medium
278,,Bihar,2023-06-25,Medium
279,Earthquake,Gujarat,2021-08-22,Medium
280,Landslide,West Bengal,2023-09-24,High
281,,Kerala,,Medium
282,Drought,Odisha,,Medium
283,Cyclone,Assam,2022-08-16,Medium
284,Flood,Odisha,2023-06-01,Low
285,Cyclone,Bihar,2022-04-17,High
286,Drought,Tamil Nadu,2021-03-28,Medium
287,Flood,UP,2022-10-04,High
288,Landslide,Bihar,2023-05-06,Medium
289,Flood,Bihar,,Medium
290,Cyclone,UP,2023-01-12,Low
291,Landslide,West Bengal,2023-04-01,High
292,Flood,Bihar,2022-11-27,Low
293,Earthquake,Assam,2021-08-22,High
294,Drought,Gujarat,2022-12-17,Medium
295,,Assam,2021-10-27,Medium
296,Cyclone,Assam,2021-06-04,Low
297,,UP,2024-02-29,High
298,Landslide,Tamil Nadu,2022-10-10,Low
299,Landslide,West Bengal,2022-09-13,Medium
300,Drought,Odisha,2021-06-01,Medium
301,Landslide,UP,,Medium
302,Earthquake,West Bengal,2021-07-04,High
303,Drought,Bihar,2024-02-10,High
304,Flood,UP,2024-03-16,High
305,Cyclone,Tamil Nadu,2023-10-24,Low
306,Flood,UP,2022-12-05,High
307,Flood,Assam,,High
308,Landslide,UP,2021-11-22,Medium
309,Earthquake,Kerala,2022-11-24,High
310,Drought,Odisha,2022-11-17,Low
311,Earthquake,West Bengal,2023-03-03,Medium
312,Earthquake,Assam,2024-04-08,High
313,Cyclone,Tamil Nadu,2023-03-14,Low
314,Drought,West Bengal,2023-02-11,High
315,Earthquake,Assam,2023-12-15,Low
316,,Bihar,2021-02-07,Medium
317,Earthquake,Assam,2022-12-01,Medium
318,Cyclone,Gujarat,2021-11-14,Low
319,Earthquake,West Bengal,2024-01-11,High
320,Drought,Odisha,2021-09-26,High
321,Landslide,Assam,2021-12-06,High
322,Landslide,Odisha,2022-05-02,Medium
323,Drought,Kerala,2023-07-09,Low
324,Drought,Gujarat,2023-08-19,Low
325,Earthquake,UP,2022-08-01,Medium
326,Drought,Bihar,2022-02-13,High
327,Cyclone,Kerala,2023-09-12,Medium
328,Drought,West Bengal,2023-11-23,Low
329,Earthquake,West Bengal,2022-07-13,Medium
330,Drought,Assam,2021-07-07,Low
331,Landslide,Tamil Nadu,2023-04-30,Low
332,Landslide,Tamil Nadu,2021-06-17,Medium
333,Cyclone,Odisha,2021-07-22,High
334,,Tamil Nadu,2021-10-09,Low
335,Earthquake,UP,2021-10-12,High
336,Landslide,UP,2021-06-12,Low
337,Earthquake,Gujarat,2024-01-29,High
338,Drought,Bihar,2022-08-14,Low
339,Earthquake,West Bengal,,Medium
340,,UP,2023-10-21,High
341,Drought,Odisha,2024-03-23,Low
342,,Assam,2021-01-04,High
343,Earthquake,Gujarat,2022-01-19,High
344,,West Bengal,2023-01-09,Low
345,Drought,Odisha,2023-08-21,Low
346,,Bihar,2022-06-04,High
347,Flood,Tamil Nadu,2022-12-08,Low
348,,West Bengal,2022-11-12,Low
349,Flood,Tamil Nadu,2021-12-25,High
350,Landslide,UP,2021-10-04,Low
351,,UP,,Low
352,Flood,Gujarat,2022-10-09,Medium
353,Drought,Bihar,2024-01-18,Medium
354,Earthquake,Odisha,2022-01-27,Medium
355,Earthquake,Odisha,2022-11-11,Medium
356,Flood,Tamil Nadu,2023-03-31,High
357,Landslide,Bihar,2022-01-18,Medium
358,,UP,2023-11-30,Medium
359,Flood,Bihar,2022-01-05,High
360,Earthquake,Tamil Nadu,2022-11-03,High
361,Earthquake,Kerala,2023-05-23,Low
362,,UP,2021-03-28,High
363,Earthquake,Bihar,2021-04-28,Low
364,,Bihar,2021-11-24,Low
365,Cyclone,UP,,Low
366,Cyclone,Tamil Nadu,2024-03-07,Low
367,Drought,Assam,2023-01-30,Medium
368,Landslide,West Bengal,2023-12-21,Medium
369,Landslide,Tamil Nadu,2022-05-27,Low
370,Flood,Assam,2023-03-04,High
371,Flood,Kerala,2023-07-03,Low
372,Drought,Kerala,2023-10-03,Low
373,Flood,Assam,2023-07-15,Low
374,,UP,2022-10-17,High
375,Earthquake,West Bengal,2022-08-18,Medium
376,Cyclone,Assam,2023-11-08,Low
377,Flood,Gujarat,2022-04-30,Medium
378,Flood,Tamil Nadu,2023-01-26,Medium
379,Drought,Assam,2021-06-26,Low
380,Earthquake,Bihar,2023-09-08,High
381,Landslide,Bihar,2021-06-01,Low
382,Earthquake,West Bengal,2023-11-26,Medium
383,Cyclone,Assam,2021-09-22,Medium
384,Drought,Odisha,2023-11-28,Low
385,Earthquake,Assam,2022-04-07,Medium
386,Drought,Kerala,2022-05-29,Low
387,,Kerala,2022-09-13,High
388,Drought,West Bengal,2021-12-12,High
389,Drought,Assam,2022-11-23,High
390,Flood,Odisha,2024-03-27,Medium
391,,Gujarat,2023-05-04,High
392,,Odisha,2024-01-23,Medium
393,,Kerala,2023-04-12,Medium
394,Landslide,West Bengal,2021-11-20,Medium
395,Landslide,UP,2022-11-28,High
396,Cyclone,Tamil Nadu,2022-10-16,High
397,Earthquake,Bihar,2023-01-29,High
398,Drought,West Bengal,2023-08-14,Low
399,Earthquake,UP,2021-07-18,Low
400,Earthquake,Bihar,2023-05-07,Low
401,Cyclone,Tamil Nadu,2022-10-03,Low
402,Cyclone,UP,2023-08-15,Medium
403,Earthquake,UP,,Medium
404,Drought,UP,2022-03-17,High
405,Earthquake,Odisha,2023-10-11,High
406,,UP,2021-01-17,Low
407,Landslide,Assam,2023-01-20,Medium
408,Earthquake,Odisha,2024-03-13,High
409,Cyclone,Tamil Nadu,2021-05-31,Medium
410,Drought,UP,2022-07-27,High
411,,West Bengal,2021-07-18,Medium
412,Earthquake,Tamil Nadu,2023-01-19,Low
413,Cyclone,Bihar,2021-04-03,Low
414,Cyclone,Tamil Nadu,2023-11-30,Medium
415,Cyclone,Assam,2022-10-15,Low
416,Landslide,Kerala,2023-11-05,High
417,Drought,UP,2022-09-06,Medium
418,Flood,Tamil Nadu,2021-08-13,Medium
419,Drought,Kerala,2021-02-24,High
420,Landslide,Kerala,2024-03-30,High
421,Cyclone,Odisha,2021-12-16,High
422,,Bihar,2022-05-12,Low
423,Drought,West Bengal,2023-06-23,Medium
424,Landslide,Assam,2022-02-22,Medium
425,Drought,UP,2021-05-08,High
426,Cyclone,Gujarat,2023-09-07,High
427,Landslide,Tamil Nadu,2023-07-31,High
428,Earthquake,Tamil Nadu,2022-06-26,High
429,Landslide,Gujarat,2022-07-26,High
430,Earthquake,Gujarat,2022-09-02,Medium
431,,Gujarat,2023-09-29,Medium
432,Landslide,Tamil Nadu,2022-07-15,Medium
433,Flood,Bihar,2023-03-20,Medium
434,Cyclone,Kerala,,High
435,Flood,Tamil Nadu,2022-06-10,High
436,Landslide,Gujarat,2024-01-09,Medium
437,Drought,Kerala,2022-05-06,Low
438,Flood,Gujarat,2021-04-18,Low
439,Landslide,Tamil Nadu,2021-07-25,High
440,Cyclone,Odisha,2021-11-20,Medium
441,,UP,2022-02-13,Medium
442,Earthquake,Kerala,2021-07-03,High
443,Drought,Gujarat,2021-03-18,Low
444,Landslide,Assam,2021-03-16,Medium
445,Landslide,Assam,2022-08-16,Low
446,Flood,Kerala,2021-08-08,Medium
447,Earthquake,UP,2024-01-18,High
448,Landslide,Assam,2023-08-17,Medium
449,Cyclone,West Bengal,2023-07-29,High
450,Earthquake,Assam,,Medium
451,Earthquake,Gujarat,2023-04-11,Medium
452,Drought,Tamil Nadu,2021-07-15,Low
453,Cyclone,UP,2022-05-24,Low
454,Earthquake,Bihar,2022-07-01,Medium
455,Earthquake,Odisha,2023-01-07,High
456,Cyclone,Odisha,2023-08-12,Medium
457,Cyclone,Bihar,2022-09-29,High
458,Flood,Kerala,2022-03-29,Low
459,Cyclone,UP,2023-02-05,Medium
460,,UP,2022-03-24,Low
461,,West Bengal,2023-12-18,High
462,Earthquake,West Bengal,2021-08-18,Low
463,Drought,Gujarat,2021-11-03,Low
464,Earthquake,UP,2022-02-25,High
465,Drought,UP,2023-11-12,Medium
466,Flood,UP,2023-05-01,Medium
467,Drought,Odisha,2022-09-24,High
468,Flood,Bihar,2021-01-07,High
469,Cyclone,West Bengal,,Medium
470,,West Bengal,2021-05-04,Low
471,Landslide,Odisha,2022-01-04,Low
472,,Bihar,2023-02-23,Medium
473,Landslide,Bihar,2024-01-10,Low
474,,Tamil Nadu,2024-01-06,Medium
475,Drought,Assam,2022-04-02,Low
476,Flood,Kerala,2024-01-21,Medium
477,Drought,Bihar,2022-05-22,Medium
478,Earthquake,Assam,2021-08-20,Low
479,,Bihar,2021-02-02,Low
480,Cyclone,West Bengal,2021-03-10,Medium
481,Drought,Odisha,2021-04-01,Medium
482,Landslide,Gujarat,2021-04-26,Low
483,Drought,Kerala,2024-03-25,Medium
484,Drought,Tamil Nadu,2021-10-21,High
485,Drought,Gujarat,2022-07-18,Low
486,Drought,Assam,2023-05-25,High
487,Landslide,Odisha,2023-02-20,High
488,Earthquake,Bihar,2022-09-07,Medium
489,Cyclone,UP,2022-04-07,Medium
490,,Assam,2021-04-29,High
491,Landslide,Bihar,2021-10-02,Medium
492,Cyclone,Kerala,2021-06-11,Medium
493,Earthquake,West Bengal,2022-01-26,Low
494,Earthquake,Bihar,2021-03-22,Low
495,Cyclone,Gujarat,2022-11-13,Medium
496,Flood,Gujarat,2021-08-29,High
497,Landslide,Gujarat,2022-02-23,Medium
498,Cyclone,Tamil Nadu,2023-02-19,Medium
499,Drought,Tamil Nadu,2023-01-07,High
500,Landslide,UP,2023-08-20,Medium
501,Cyclone,Tamil Nadu,2021-04-04,High
502,Cyclone,Assam,,High
503,Drought,Bihar,2022-02-06,Medium
504,Cyclone,Bihar,2022-05-19,Medium
505,Drought,Tamil Nadu,2023-09-28,High
506,,UP,2022-12-23,Low
507,Cyclone,UP,2024-01-16,High
508,Flood,Odisha,2021-06-02,High
509,Flood,Odisha,2022-04-19,Low
510,,Assam,,High
511,Landslide,Tamil Nadu,2023-09-17,High
512,Landslide,Odisha,,High
513,Landslide,Odisha,,High
514,Earthquake,Kerala,,High
515,,Bihar,2022-01-03,Low
516,Flood,Assam,2023-12-15,Medium
517,Earthquake,Kerala,2021-06-11,Medium
518,Landslide,UP,2022-04-08,Medium
519,,West Bengal,2021-03-06,Low
520,Landslide,Bihar,2023-09-02,Low
521,,Odisha,2021-06-19,Medium
522,Landslide,Tamil Nadu,2021-07-15,High
523,Flood,Gujarat,2024-03-06,Medium
524,Earthquake,Odisha,2022-07-29,High
525,Drought,Odisha,2022-10-07,Low
526,Cyclone,Assam,2023-03-27,Low
527,Earthquake,Assam,2024-03-06,Medium
528,,Tamil Nadu,2021-10-14,High
529,,West Bengal,2022-12-10,Low
530,Flood,Bihar,2021-06-05,Medium
531,Drought,Bihar,2022-10-31,Low
532,,Kerala,2023-07-12,Medium
533,Cyclone,Tamil Nadu,2023-02-08,Medium
534,Cyclone,Bihar,2022-08-28,Low
535,,West Bengal,2021-11-12,Medium
536,,Assam,2022-10-11,Medium
537,Flood,West Bengal,,Medium
538,Landslide,Tamil Nadu,2021-07-29,Low
539,Flood,Assam,2024-02-15,High
540,Drought,Bihar,2021-07-03,Medium
541,Drought,West Bengal,2022-10-27,Medium
542,Flood,Kerala,2021-06-23,High
543,Drought,Gujarat,2021-12-14,High
544,Landslide,Assam,2022-09-09,Medium
545,Landslide,Assam,2023-06-10,Medium
546,Landslide,Kerala,2021-06-07,Medium
547,Earthquake,Gujarat,2023-10-13,High
548,Drought,Gujarat,2021-10-05,Medium
549,Flood,Bihar,2023-02-18,Medium
550,Landslide,Tamil Nadu,2021-10-06,Medium
551,Earthquake,Gujarat,2021-12-30,Medium
552,Earthquake,Kerala,2023-10-03,High
553,Cyclone,Tamil Nadu,2023-03-16,Medium
554,Flood,Gujarat,2024-01-23,Low
555,,Odisha,2023-08-04,High
556,Cyclone,UP,2021-05-22,Medium
557,,UP,2022-09-13,Low
558,Earthquake,Assam,2023-02-12,Low
559,Landslide,UP,2023-12-31,High
560,,Bihar,2023-01-07,High
561,Drought,West Bengal,2022-05-24,High
562,,Tamil Nadu,2021-04-01,High
563,,Bihar,2022-11-11,Medium
564,Flood,Odisha,2022-03-31,High
565,,Gujarat,2023-03-13,Medium
566,,Assam,2021-02-20,Medium
567,Flood,Kerala,2021-06-25,Low
568,,Assam,2022-12-04,Medium
569,Cyclone,UP,2021-07-19,Medium
570,,UP,2022-09-07,Low
571,,West Bengal,,Medium
572,,West Bengal,2021-12-03,High
573,Cyclone,Assam,2022-11-09,High
574,Landslide,UP,2023-04-10,High
575,Cyclone,Assam,2023-06-05,Medium
576,Flood,Gujarat,2023-05-30,Medium
577,Flood,Gujarat,2021-05-09,High
578,Flood,Assam,2022-02-08,Medium
579,Flood,Kerala,2023-09-30,High
580,,Tamil Nadu,2023-03-15,High
581,Flood,Tamil Nadu,2023-07-27,High
582,Cyclone,Kerala,2021-06-23,High
583,Cyclone,Tamil Nadu,2022-09-18,Low
584,Cyclone,Tamil Nadu,2023-11-13,Medium
585,Landslide,Assam,2023-05-17,Low
586,Landslide,Assam,2023-09-30,Medium
587,Cyclone,Assam,2023-07-13,High
588,Flood,Tamil Nadu,2023-09-20,Low
589,Cyclone,Bihar,2023-11-02,High
590,Landslide,Bihar,2023-05-02,High
591,Landslide,UP,2024-03-03,Low
592,Cyclone,Kerala,,Low
593,Drought,Kerala,2023-07-26,High
594,,UP,2021-08-20,High
595,Flood,Kerala,2023-01-22,High
596,Flood,UP,2023-05-21,Low
597,,Gujarat,2021-03-08,Medium
598,Earthquake,Tamil Nadu,2021-06-28,Medium
599,Flood,Gujarat,2022-12-20,High
600,Drought,Bihar,2021-10-13,Low
601,Cyclone,Odisha,2023-12-27,Medium
602,Drought,Assam,2022-08-23,Medium
603,Drought,Kerala,2023-11-20,High
604,Flood,Assam,2023-04-23,Low
605,Earthquake,Assam,2021-09-29,Low
606,Cyclone,Tamil Nadu,2023-03-16,Medium
607,Cyclone,Kerala,2023-02-08,Medium
608,Flood,West Bengal,2022-07-24,High
609,Earthquake,UP,2022-11-02,High
610,Flood,West Bengal,2023-07-28,High
611,,Tamil Nadu,2023-12-31,Medium
612,Cyclone,Bihar,2023-10-11,Medium
613,Earthquake,Kerala,2024-03-29,Low
614,Drought,UP,2021-04-10,Low
615,Flood,UP,,Low
616,Landslide,UP,,Medium
617,Cyclone,Assam,2022-09-11,Low
618,Earthquake,West Bengal,2022-05-28,Low
619,Earthquake,Assam,2022-09-18,High
620,,Gujarat,2021-07-06,High
621,Flood,Odisha,2021-06-09,Low
622,Drought,Gujarat,2023-07-01,Low
623,Flood,Tamil Nadu,2023-05-15,High
624,Cyclone,UP,2023-02-24,Low
625,,West Bengal,2023-01-23,Medium
626,Cyclone,Bihar,2021-09-30,High
627,,Assam,2024-02-28,Low
628,Drought,Assam,2022-03-13,High
629,,Assam,2023-06-26,Low
630,Flood,West Bengal,2021-09-10,High
631,,Bihar,2023-05-30,Medium
632,Cyclone,Gujarat,2021-06-22,Low
633,Drought,Kerala,2021-02-24,High
634,Earthquake,Gujarat,2023-11-10,Low
635,,Bihar,2021-04-22,Low
636,Landslide,Bihar,2023-10-21,High
637,Drought,West Bengal,2021-01-25,Medium
638,Earthquake,Assam,2024-03-10,Medium
639,Earthquake,Assam,2021-05-30,Low
640,Drought,West Bengal,,Low
641,Flood,Odisha,2023-03-27,High
642,Earthquake,Bihar,2023-04-04,Low
643,,Assam,2022-09-27,Low
644,Drought,Gujarat,2021-11-15,High
645,Earthquake,Bihar,2021-05-16,Medium
646,,Bihar,2022-05-04,Low
647,Cyclone,West Bengal,2021-08-26,Medium
648,Drought,Odisha,2021-12-26,Low
649,Flood,Assam,2021-12-02,Medium
650,Earthquake,Kerala,2021-09-17,High
651,Earthquake,West Bengal,2021-03-02,Medium
652,Landslide,Kerala,2022-06-23,High
653,Drought,West Bengal,2023-11-13,Medium
654,Flood,UP,2021-12-08,Medium
